method,#19,#20,#21
SVR,0.748,0.926,0.863
RF,0.775,1.094,1.078
CNN,1.269,1.425,0.869
Benchmark,0.643,0.889,1.090
WSL(enough labels),0.953,1.165,0.977
WSL(limited labels),0.677,1.142,1.502
