dataset,method,intra_RMSE,intra_MAPE,intra_MAE,intra_MedAE,intra_MAX,cross_RMSE,cross_MAPE,cross_MAE,cross_MedAE,cross_MAX
Dataset 5,RF,2.253 ± 0.651,2.270 ± 0.914,1.907 ± 0.697,1.807 ± 0.902,6.363 ± 1.583,3.355 ± 0.839,3.493 ± 1.073,2.934 ± 0.847,2.868 ± 1.040,7.365 ± 1.440
Dataset 5,GPR,0.833 ± 0.434,0.858 ± 0.478,0.723 ± 0.405,0.694 ± 0.439,1.994 ± 0.819,1.460 ± 0.574,1.353 ± 0.514,1.198 ± 0.484,1.073 ± 0.528,2.905 ± 1.067
Dataset 5,CNN,1.352 ± 0.444,1.274 ± 0.395,1.096 ± 0.346,0.929 ± 0.356,2.806 ± 0.889,2.142 ± 0.747,2.030 ± 0.789,1.781 ± 0.686,1.488 ± 0.828,4.056 ± 1.231
Dataset 5,Benchmark,1.761 ± 0.757,1.632 ± 0.699,1.416 ± 0.646,1.172 ± 0.638,3.595 ± 1.363,2.673 ± 1.152,2.356 ± 0.987,2.119 ± 0.935,1.703 ± 0.985,5.139 ± 1.860
Dataset 5,SSL,1.591 ± 0.414,1.545 ± 0.571,1.307 ± 0.457,1.270 ± 0.685,5.159 ± 0.971,2.205 ± 1.064,2.303 ± 1.299,1.957 ± 1.100,2.064 ± 1.379,5.063 ± 0.996
Dataset 5,WSL,0.795 ± 0.332,0.794 ± 0.357,0.670 ± 0.291,0.616 ± 0.309,1.881 ± 0.892,1.000 ± 0.349,0.992 ± 0.366,0.839 ± 0.305,0.777 ± 0.347,2.258 ± 1.121
Dataset 6,SVR,2.255 ± 1.252,2.222 ± 1.291,1.971 ± 1.188,1.878 ± 1.282,5.525 ± 1.885,3.048 ± 1.655,2.956 ± 1.816,2.615 ± 1.597,2.327 ± 1.639,6.998 ± 2.514
Dataset 6,RF,2.504 ± 1.692,2.506 ± 1.788,2.217 ± 1.678,2.247 ± 1.776,6.414 ± 2.059,2.861 ± 1.302,2.849 ± 1.472,2.511 ± 1.332,2.366 ± 1.477,7.104 ± 2.302
Dataset 6,GPR,2.439 ± 1.470,2.417 ± 1.420,2.110 ± 1.252,2.042 ± 1.363,7.652 ± 5.296,5.752 ± 4.738,5.741 ± 5.209,5.019 ± 4.487,4.717 ± 4.716,12.722 ± 7.363
Dataset 6,CNN,2.216 ± 0.901,2.198 ± 0.923,1.936 ± 0.843,1.913 ± 1.064,5.915 ± 2.015,3.943 ± 2.291,3.745 ± 2.228,3.318 ± 1.977,2.797 ± 1.823,9.817 ± 5.616
Dataset 6,Benchmark,2.205 ± 1.445,2.179 ± 1.473,1.931 ± 1.367,1.915 ± 1.502,5.832 ± 2.874,4.022 ± 2.517,3.785 ± 2.475,3.366 ± 2.197,2.775 ± 2.014,9.951 ± 5.327
Dataset 6,SSL,2.941 ± 1.695,3.014 ± 1.855,2.659 ± 1.703,2.630 ± 1.858,7.582 ± 3.314,4.015 ± 2.429,3.722 ± 2.398,3.298 ± 2.122,2.765 ± 1.925,10.644 ± 5.385
Dataset 6,WSL,1.758 ± 0.981,1.706 ± 0.899,1.503 ± 0.824,1.442 ± 0.901,4.415 ± 1.714,1.860 ± 0.915,1.777 ± 0.922,1.568 ± 0.850,1.488 ± 0.987,4.869 ± 1.750
