dataset,intra_RMSE,intra_MAPE,intra_MAE,intra_MedAE,intra_MAX,cross_RMSE,cross_MAPE,cross_MAE,cross_MedAE,cross_MAX
Dataset 1,0.687 ¡À 0.312,0.628 ¡À 0.283,0.573 ¡À 0.256,0.515 ¡À 0.220,2.689 ¡À 1.388,0.921 ¡À 0.421,0.823 ¡À 0.419,0.753 ¡À 0.387,0.654 ¡À 0.414,3.093 ¡À 0.964
Dataset 2,1.201 ¡À 0.365,1.188 ¡À 0.400,1.043 ¡À 0.345,0.986 ¡À 0.375,2.933 ¡À 0.746,1.241 ¡À 0.538,1.186 ¡À 0.573,1.048 ¡À 0.502,0.934 ¡À 0.544,3.228 ¡À 1.152
Dataset 3,0.610 ¡À 0.165,0.553 ¡À 0.147,0.488 ¡À 0.124,0.423 ¡À 0.114,1.749 ¡À 0.578,1.635 ¡À 0.726,1.752 ¡À 0.825,1.534 ¡À 0.736,1.549 ¡À 0.754,3.037 ¡À 1.007
Dataset 4,0.600 ¡À 0.299,0.634 ¡À 0.382,0.544 ¡À 0.314,0.532 ¡À 0.350,1.489 ¡À 0.808,1.376 ¡À 0.615,1.511 ¡À 0.727,1.272 ¡À 0.589,1.335 ¡À 0.668,2.532 ¡À 0.782
Dataset 5,0.891 ¡À 0.311,0.903 ¡À 0.339,0.753 ¡À 0.275,0.705 ¡À 0.288,2.262 ¡À 1.203,1.190 ¡À 0.417,1.192 ¡À 0.457,1.009 ¡À 0.388,0.954 ¡À 0.413,2.765 ¡À 1.617
Dataset 6,1.981 ¡À 1.231,1.958 ¡À 1.252,1.725 ¡À 1.127,1.659 ¡À 1.294,4.732 ¡À 1.972,2.275 ¡À 1.023,2.339 ¡À 1.162,2.047 ¡À 1.017,1.954 ¡À 1.070,5.387 ¡À 1.756
