dataset,method,intra_RMSE,intra_MAPE,intra_MAE,intra_MedAE,intra_MAX,cross_RMSE,cross_MAPE,cross_MAE,cross_MedAE,cross_MAX
Dataset 1,SVR,1.475 ¡À 1.001,1.512 ¡À 1.097,1.393 ¡À 1.009,1.362 ¡À 1.003,3.773 ¡À 2.137,3.968 ¡À 2.718,4.099 ¡À 2.900,3.822 ¡À 2.713,3.910 ¡À 2.815,6.605 ¡À 3.617
Dataset 1,RF,2.817 ¡À 1.406,2.671 ¡À 1.456,2.469 ¡À 1.365,2.381 ¡À 1.519,6.258 ¡À 2.300,4.811 ¡À 1.473,4.519 ¡À 1.441,4.203 ¡À 1.416,4.051 ¡À 1.637,9.557 ¡À 1.701
Dataset 1,GPR,1.043 ¡À 0.669,1.052 ¡À 0.717,0.969 ¡À 0.663,0.958 ¡À 0.650,3.159 ¡À 1.826,1.774 ¡À 1.118,1.826 ¡À 1.242,1.694 ¡À 1.150,1.689 ¡À 1.171,3.978 ¡À 2.121
Dataset 1,CNN,1.680 ¡À 0.992,1.716 ¡À 1.082,1.584 ¡À 1.003,1.567 ¡À 1.024,4.358 ¡À 2.501,5.293 ¡À 3.082,5.409 ¡À 3.381,5.060 ¡À 3.140,5.015 ¡À 3.284,8.832 ¡À 4.219
Dataset 1,Benchmark,2.189 ¡À 1.856,2.237 ¡À 1.997,2.073 ¡À 1.854,2.083 ¡À 1.987,4.674 ¡À 2.503,5.595 ¡À 2.587,5.605 ¡À 2.804,5.270 ¡À 2.625,5.211 ¡À 2.788,9.192 ¡À 3.050
Dataset 1,SSL,2.657 ¡À 1.071,2.516 ¡À 1.077,2.305 ¡À 0.983,2.193 ¡À 0.930,6.828 ¡À 2.552,5.599 ¡À 2.275,5.721 ¡À 2.638,5.277 ¡À 2.411,4.983 ¡À 2.503,10.741 ¡À 3.933
Dataset 1,WSL,0.677 ¡À 0.312,0.635 ¡À 0.309,0.585 ¡À 0.285,0.568 ¡À 0.317,2.492 ¡À 1.145,1.660 ¡À 0.550,1.673 ¡À 0.613,1.551 ¡À 0.566,1.610 ¡À 0.603,2.887 ¡À 0.888
Dataset 2,SVR,1.186 ¡À 0.337,1.142 ¡À 0.388,1.002 ¡À 0.328,0.921 ¡À 0.406,2.989 ¡À 0.678,1.186 ¡À 0.487,1.138 ¡À 0.502,0.995 ¡À 0.436,0.909 ¡À 0.496,3.059 ¡À 0.910
Dataset 2,RF,1.829 ¡À 0.670,1.781 ¡À 0.784,1.561 ¡À 0.673,1.430 ¡À 0.783,4.321 ¡À 0.734,2.401 ¡À 0.838,2.375 ¡À 0.894,2.047 ¡À 0.745,1.903 ¡À 0.715,4.982 ¡À 1.165
Dataset 2,GPR,1.251 ¡À 0.502,1.261 ¡À 0.565,1.113 ¡À 0.494,1.041 ¡À 0.490,3.034 ¡À 1.040,1.730 ¡À 0.664,1.650 ¡À 0.672,1.450 ¡À 0.588,1.325 ¡À 0.672,4.164 ¡À 1.457
Dataset 2,CNN,1.545 ¡À 0.567,1.501 ¡À 0.636,1.324 ¡À 0.553,1.249 ¡À 0.620,3.691 ¡À 1.087,1.910 ¡À 0.720,1.832 ¡À 0.719,1.612 ¡À 0.638,1.449 ¡À 0.661,4.821 ¡À 1.774
Dataset 2,Benchmark,1.590 ¡À 0.493,1.523 ¡À 0.565,1.349 ¡À 0.502,1.222 ¡À 0.606,3.955 ¡À 0.915,1.790 ¡À 0.648,1.648 ¡À 0.656,1.466 ¡À 0.591,1.293 ¡À 0.627,4.701 ¡À 1.443
Dataset 2,SSL,2.345 ¡À 0.954,2.308 ¡À 1.032,2.015 ¡À 0.882,1.925 ¡À 0.935,4.954 ¡À 1.575,2.982 ¡À 1.215,2.926 ¡À 1.143,2.546 ¡À 0.964,2.371 ¡À 0.943,6.331 ¡À 2.823
Dataset 2,WSL,1.241 ¡À 0.484,1.212 ¡À 0.532,1.055 ¡À 0.452,0.946 ¡À 0.494,2.930 ¡À 0.843,1.291 ¡À 0.570,1.245 ¡À 0.573,1.087 ¡À 0.493,0.972 ¡À 0.469,3.189 ¡À 1.161
Dataset 3,SVR,0.623 ¡À 0.263,0.594 ¡À 0.288,0.516 ¡À 0.241,0.447 ¡À 0.226,1.914 ¡À 0.394,2.864 ¡À 1.506,3.133 ¡À 1.761,2.752 ¡À 1.540,2.856 ¡À 1.585,4.313 ¡À 1.701
Dataset 3,RF,1.188 ¡À 0.117,1.009 ¡À 0.176,0.893 ¡À 0.161,0.676 ¡À 0.263,3.867 ¡À 0.464,2.806 ¡À 1.002,2.876 ¡À 1.147,2.510 ¡À 1.001,2.269 ¡À 0.932,5.663 ¡À 1.413
Dataset 3,GPR,0.381 ¡À 0.092,0.332 ¡À 0.091,0.291 ¡À 0.082,0.230 ¡À 0.081,1.395 ¡À 0.349,2.379 ¡À 1.441,2.567 ¡À 1.728,2.239 ¡À 1.500,2.216 ¡À 1.583,3.936 ¡À 1.530
Dataset 3,CNN,0.603 ¡À 0.221,0.571 ¡À 0.253,0.501 ¡À 0.220,0.433 ¡À 0.230,1.693 ¡À 0.376,3.399 ¡À 1.759,3.746 ¡À 2.064,3.286 ¡À 1.804,3.299 ¡À 1.806,5.024 ¡À 1.982
Dataset 3,Benchmark,0.520 ¡À 0.148,0.496 ¡À 0.182,0.434 ¡À 0.155,0.405 ¡À 0.176,1.807 ¡À 0.665,3.293 ¡À 1.670,3.611 ¡À 1.941,3.174 ¡À 1.706,3.247 ¡À 1.783,5.015 ¡À 1.710
Dataset 3,SSL,1.044 ¡À 0.305,0.936 ¡À 0.298,0.802 ¡À 0.259,0.637 ¡À 0.271,2.848 ¡À 0.912,2.744 ¡À 1.395,2.988 ¡À 1.595,2.614 ¡À 1.408,2.614 ¡À 1.419,4.387 ¡À 1.654
Dataset 3,WSL,0.514 ¡À 0.106,0.471 ¡À 0.079,0.415 ¡À 0.073,0.359 ¡À 0.062,1.601 ¡À 0.539,1.429 ¡À 0.549,1.452 ¡À 0.640,1.264 ¡À 0.564,1.239 ¡À 0.640,2.929 ¡À 0.853
Dataset 4,SVR,0.656 ¡À 0.383,0.687 ¡À 0.456,0.578 ¡À 0.368,0.557 ¡À 0.393,1.491 ¡À 1.031,1.835 ¡À 0.791,2.017 ¡À 0.955,1.694 ¡À 0.769,1.729 ¡À 0.835,3.067 ¡À 1.005
Dataset 4,RF,1.541 ¡À 0.476,1.430 ¡À 0.631,1.235 ¡À 0.519,1.004 ¡À 0.655,4.124 ¡À 0.607,3.985 ¡À 1.289,4.410 ¡À 1.554,3.748 ¡À 1.251,4.076 ¡À 1.549,6.004 ¡À 1.482
Dataset 4,GPR,0.638 ¡À 0.396,0.690 ¡À 0.486,0.584 ¡À 0.396,0.582 ¡À 0.432,1.546 ¡À 1.256,1.857 ¡À 0.757,2.066 ¡À 0.917,1.739 ¡À 0.738,1.838 ¡À 0.828,3.060 ¡À 0.952
Dataset 4,CNN,0.705 ¡À 0.465,0.755 ¡À 0.560,0.636 ¡À 0.455,0.649 ¡À 0.513,1.708 ¡À 1.537,2.313 ¡À 0.910,2.583 ¡À 1.104,2.179 ¡À 0.891,2.327 ¡À 0.987,3.559 ¡À 1.143
Dataset 4,Benchmark,0.696 ¡À 0.433,0.739 ¡À 0.521,0.621 ¡À 0.421,0.624 ¡À 0.481,1.539 ¡À 1.221,1.899 ¡À 0.766,2.112 ¡À 0.914,1.786 ¡À 0.750,1.868 ¡À 0.826,2.980 ¡À 0.885
Dataset 4,SSL,1.236 ¡À 0.598,1.200 ¡À 0.601,1.029 ¡À 0.527,0.925 ¡À 0.528,3.694 ¡À 1.406,1.647 ¡À 0.631,1.637 ¡À 0.602,1.414 ¡À 0.524,1.334 ¡À 0.467,4.518 ¡À 0.934
Dataset 4,WSL,0.535 ¡À 0.229,0.563 ¡À 0.293,0.485 ¡À 0.238,0.491 ¡À 0.264,1.353 ¡À 0.692,1.151 ¡À 0.539,1.222 ¡À 0.651,1.022 ¡À 0.520,1.040 ¡À 0.628,2.403 ¡À 0.661
Dataset 5,SVR,1.309 ¡À 0.326,1.322 ¡À 0.429,1.098 ¡À 0.335,1.023 ¡À 0.390,3.501 ¡À 0.915,1.378 ¡À 0.497,1.408 ¡À 0.558,1.181 ¡À 0.460,1.169 ¡À 0.536,3.171 ¡À 1.003
Dataset 5,RF,2.253 ¡À 0.651,2.270 ¡À 0.914,1.907 ¡À 0.697,1.807 ¡À 0.902,6.363 ¡À 1.583,3.355 ¡À 0.839,3.493 ¡À 1.073,2.934 ¡À 0.847,2.868 ¡À 1.040,7.365 ¡À 1.440
