dataset,method,intra_RMSE,intra_MAPE,intra_MAE,intra_MedAE,intra_MAX,cross_RMSE,cross_MAPE,cross_MAE,cross_MedAE,cross_MAX
Dataset 5,GPR,0.833 ¡À 0.434,0.858 ¡À 0.478,0.723 ¡À 0.405,0.694 ¡À 0.439,1.994 ¡À 0.819,1.460 ¡À 0.574,1.353 ¡À 0.514,1.198 ¡À 0.484,1.073 ¡À 0.528,2.905 ¡À 1.067
Dataset 5,CNN,1.352 ¡À 0.444,1.274 ¡À 0.395,1.096 ¡À 0.346,0.929 ¡À 0.356,2.806 ¡À 0.889,2.142 ¡À 0.747,2.030 ¡À 0.789,1.781 ¡À 0.686,1.488 ¡À 0.828,4.056 ¡À 1.231
Dataset 5,Benchmark,1.761 ¡À 0.757,1.632 ¡À 0.699,1.416 ¡À 0.646,1.172 ¡À 0.638,3.595 ¡À 1.363,2.673 ¡À 1.152,2.356 ¡À 0.987,2.119 ¡À 0.935,1.703 ¡À 0.985,5.139 ¡À 1.860
Dataset 5,SSL,1.591 ¡À 0.414,1.545 ¡À 0.571,1.307 ¡À 0.457,1.270 ¡À 0.685,5.159 ¡À 0.971,2.205 ¡À 1.064,2.303 ¡À 1.299,1.957 ¡À 1.100,2.064 ¡À 1.379,5.063 ¡À 0.996
Dataset 5,WSL,0.795 ¡À 0.332,0.794 ¡À 0.357,0.670 ¡À 0.291,0.616 ¡À 0.309,1.881 ¡À 0.892,1.000 ¡À 0.349,0.992 ¡À 0.366,0.839 ¡À 0.305,0.777 ¡À 0.347,2.258 ¡À 1.121
Dataset 6,SVR,2.255 ¡À 1.252,2.222 ¡À 1.291,1.971 ¡À 1.188,1.878 ¡À 1.282,5.525 ¡À 1.885,3.048 ¡À 1.655,2.956 ¡À 1.816,2.615 ¡À 1.597,2.327 ¡À 1.639,6.998 ¡À 2.514
Dataset 6,RF,2.504 ¡À 1.692,2.506 ¡À 1.788,2.217 ¡À 1.678,2.247 ¡À 1.776,6.414 ¡À 2.059,2.861 ¡À 1.302,2.849 ¡À 1.472,2.511 ¡À 1.332,2.366 ¡À 1.477,7.104 ¡À 2.302
Dataset 6,GPR,2.439 ¡À 1.470,2.417 ¡À 1.420,2.110 ¡À 1.252,2.042 ¡À 1.363,7.652 ¡À 5.296,5.752 ¡À 4.738,5.741 ¡À 5.209,5.019 ¡À 4.487,4.717 ¡À 4.716,12.722 ¡À 7.363
Dataset 6,CNN,2.216 ¡À 0.901,2.198 ¡À 0.923,1.936 ¡À 0.843,1.913 ¡À 1.064,5.915 ¡À 2.015,3.943 ¡À 2.291,3.745 ¡À 2.228,3.318 ¡À 1.977,2.797 ¡À 1.823,9.817 ¡À 5.616
Dataset 6,Benchmark,2.205 ¡À 1.445,2.179 ¡À 1.473,1.931 ¡À 1.367,1.915 ¡À 1.502,5.832 ¡À 2.874,4.022 ¡À 2.517,3.785 ¡À 2.475,3.366 ¡À 2.197,2.775 ¡À 2.014,9.951 ¡À 5.327
Dataset 6,SSL,2.941 ¡À 1.695,3.014 ¡À 1.855,2.659 ¡À 1.703,2.630 ¡À 1.858,7.582 ¡À 3.314,4.015 ¡À 2.429,3.722 ¡À 2.398,3.298 ¡À 2.122,2.765 ¡À 1.925,10.644 ¡À 5.385
Dataset 6,WSL,1.758 ¡À 0.981,1.706 ¡À 0.899,1.503 ¡À 0.824,1.442 ¡À 0.901,4.415 ¡À 1.714,1.860 ¡À 0.915,1.777 ¡À 0.922,1.568 ¡À 0.850,1.488 ¡À 0.987,4.869 ¡À 1.750
