method,#5,#6,#7
SVR,1.127,2.295,2.248
RF,1.203,1.389,2.282
CNN,1.449,2.005,1.929
Benchmark,1.100,1.771,1.745
WSL(enough labels),0.978,0.600,0.776
WSL(limited labels),0.964,0.893,0.813
