method,#23,#22,#24,#25,#26,#27
SVR,1.383,4.163,2.400,2.104,2.231,1.713
RF,1.073,6.002,2.484,1.413,2.662,2.649
CNN,1.009,5.895,2.391,1.289,2.947,3.210
Benchmark,1.089,5.523,2.363,1.311,2.506,2.655
WSL(enough labels),1.088,4.287,2.043,1.300,1.681,1.775
WSL(limited labels),1.199,4.190,2.117,1.411,1.828,1.968
